商品名,单价,数量,坐标X,坐标Y,坐标Z,区域
满附魔钓鱼竿,704,1,-63,210,-59,满附魔商品区
满附魔弓,692,1,-63,210,-61,满附魔商品区
满附魔下界合金锹,1502,1,-63,210,-63,满附魔商品区
满附魔下界合金镐,1502,1,-63,210,-65,满附魔商品区
满附魔下界合金斧,1922,1,-63,210,-67,满附魔商品区
满附魔下界合金剑,1758,1,-63,210,-69,满附魔商品区
铁锹,192,1,-62,210,-51,工具区
金锹,32,1,-62,210,-49,工具区
钻石锹,430,1,-62,210,-47,工具区
下界合金锹,542,1,-62,210,-45,工具区
铁剑,192,1,-62,210,-43,工具区
钻石剑,430,1,-62,210,-41,工具区
下界合金剑,542,1,-68,210,-41,工具区
铁镐,192,1,-68,210,-43,工具区
钻石镐,430,1,-68,210,-45,工具区
下界合金镐,542,1,-68,210,-47,工具区
下界合金斧,542,1,-68,210,-49,工具区
钻石锄,30,1,-68,210,-51,工具区
煤炭,30,64,-72,210,-51,矿物区
铁锭,384,64,-72,210,-49,矿物区
金锭,180,30,-72,210,-47,矿物区
钻石,600,5,-72,210,-45,矿物区
下界合金锭,542,1,-72,210,-43,矿物区
铜锭,98,64,-72,210,-41,矿物区
